2022-05-11 17:22:30,884 INFO  [background-preinit] o.h.v.i.u.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-05-11 17:22:30,920 INFO  [restartedMain] m.RestApplication - Starting RestApplication using Java 18.0.1.1 on HollowKnight with PID 9860 (C:\1_Учеба\2 курс\Курсач_4сем\market-master\market-rest\target\classes started by MaxHodos in C:\1_Учеба\2 курс\Курсач_4сем\market-master)
2022-05-11 17:22:30,920 DEBUG [restartedMain] m.RestApplication - Running with Spring Boot v2.4.3, Spring v5.3.4
2022-05-11 17:22:30,925 INFO  [restartedMain] m.RestApplication - No active profile set, falling back to default profiles: default
2022-05-11 17:22:30,963 WARN  [restartedMain] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 34:13]
2022-05-11 17:22:30,963 WARN  [restartedMain] o.s.b.c.c.ConfigDataEnvironment - Property 'spring.profiles' imported from location 'class path resource [application.yml]' is invalid and should be replaced with 'spring.config.activate.on-profile' [origin: class path resource [application.yml] - 24:13]
2022-05-11 17:22:30,963 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-11 17:22:30,963 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-11 17:22:31,844 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-11 17:22:31,937 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 87 ms. Found 8 JPA repository interfaces.
2022-05-11 17:22:32,157 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'market.DataConfig' of type [market.DataConfig$$EnhancerBySpringCGLIB$$5238084a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
